sites,mean_main_km
nfy_slate,11.73365467389926
nfy_slate_cgrav,11.73365467389926
nfy,27.392228011058396
nfy_slate_onion,11.733654673899261
sfy_humbug,10.754128532376955
sfy_rockck,14.722640211293704
sfy_shadyck,19.99007793625349
sfy_springck,14.987179301868158
sfy_scotchman,12.508582832829678
sfy_misc,9.56612585824656
sfy_loga,9.329216877907694
sfy,15.803804706534358
sfy_mcki,9.739882829446273
sfy_thimc,9.4484698820411
sfy_fallck,15.577998943058324
bear_miss_cnyn,8.927151348897272
bear_grhn,8.927151348897272
bear_sth2,4.578713083387627
bear_stha,4.553279585892842
bear,4.553279585892842
bear_sthc,4.578713083387627
nfa,14.5092244351417
nfa_shic,16.751823936227456
nfa_robr,14.393443322184606
nfa_slar,14.453952814439416
nfa_saic,39.928592972076814
nfa_indc,15.989018263444128
nfa_pond,22.888154001612726
nfa_bunc,17.63319291256721
nfa_euchds,20.353498604800272
nfa_euchus,21.17416402232607
nfa_nfnfa,20.548168144992232
rub_usph,14.17224476087161
nfmfa_sc,14.628119389405867
mfa_todc,16.709030915341465
mfa_amec,20.06396582544957
mfa_gasc,17.14700611599079
mfa_us_r,14.139587669817313
rub_lc_us,17.38750645386526
